student_id,Quiz_22e1c,Assignment_69e6a,Miscellaneous_772a3,Quiz_06314,weighted_final_grade
735584c7-cc42-4575-8d60-3ba39c0d7f55,0.4,0.16666666666666666,0.6,0.0,0.2296296296296296
90b4d093-d631-40f6-a077-007d0e92b705,1.0,0.4166666666666667,1.0,0.0,0.5185185185185185
a3544a18-77c5-4915-b0a8-91dd15a2a389,0.52,0.36666666666666664,0.8,0.0,0.3674074074074074
8b8567db-f0f9-4406-bee7-98b4ce2918a2,0.48,0.2,0.6,0.0,0.2622222222222222
ddea8845-1b36-436d-b4d7-4a03b8c2b45a,0.72,0.9166666666666666,1.0,0.0,0.6785185185185184
23950561-d4d9-48d0-bf8a-9e784b8062e4,0.56,0.38333333333333336,0.4,0.0,0.3392592592592592
1b44f983-75b1-4b72-b350-68fca15d9749,0.92,0.9166666666666666,0.6,0.0,0.6785185185185184
2507ef8a-a3c6-4401-8e29-d45b51284648,0.92,0.75,0.6,0.0,0.6044444444444445
0cd39740-b18c-4daf-aaed-dc00709da259,0.56,0.21666666666666667,0.4,0.0,0.2651851851851852
71a0a3c6-f4ee-448e-8025-b17169e2a9cf,0.92,0.9833333333333333,1.0,0.0,0.7525925925925925
26a4ffa8-728c-4175-b36b-66129a9d15eb,1.0,1.0,1.0,0.0,0.7777777777777778
062660fb-a51f-4ecf-86cf-30e653ea29f3,0.92,0.9166666666666666,0.8,0.0,0.7007407407407407
